State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Illinois,6/15/2019,8838,6/8/2019,84805,5892968,1.44
Illinois,6/22/2019,8100,6/15/2019,87646,5892968,1.49
Illinois,6/29/2019,8038,6/22/2019,86622,5892968,1.47
Illinois,7/6/2019,9137,6/29/2019,86321,5892968,1.46
Illinois,7/13/2019,7249,7/6/2019,85669,5895016,1.45
Illinois,7/20/2019,7986,7/13/2019,93884,5895016,1.59
Illinois,7/27/2019,10355,7/20/2019,88602,5895016,1.5
Illinois,8/3/2019,7546,7/27/2019,90901,5895016,1.54
Illinois,8/10/2019,7209,8/3/2019,94060,5895016,1.6
Illinois,8/17/2019,6991,8/10/2019,88531,5895016,1.5
Illinois,8/24/2019,7376,8/17/2019,85032,5895016,1.44
Illinois,8/31/2019,11104,8/24/2019,83897,5895016,1.42
Illinois,9/7/2019,7180,8/31/2019,77872,5895016,1.32
Illinois,9/14/2019,6614,9/7/2019,86352,5895016,1.46
Illinois,9/21/2019,6538,9/14/2019,76349,5895016,1.3
Illinois,9/28/2019,6793,9/21/2019,74877,5895016,1.27
Illinois,10/5/2019,8465,9/28/2019,72490,5895016,1.23
Illinois,10/12/2019,7543,10/5/2019,73458,5902475,1.24
Illinois,10/19/2019,7551,10/12/2019,75028,5902475,1.27
Illinois,10/26/2019,8307,10/19/2019,75332,5902475,1.28
Illinois,11/2/2019,10705,10/26/2019,75398,5902475,1.28
Illinois,11/9/2019,11015,11/2/2019,78200,5902475,1.32
Illinois,11/16/2019,13989,11/9/2019,80616,5902475,1.37
Illinois,11/23/2019,11266,11/16/2019,85441,5902475,1.45
Illinois,11/30/2019,10233,11/23/2019,90255,5902475,1.53
Illinois,12/7/2019,14798,11/30/2019,95414,5902475,1.62
Illinois,12/14/2019,15076,12/7/2019,99001,5902475,1.68
Illinois,12/21/2019,16669,12/14/2019,107512,5902475,1.82
Illinois,12/28/2019,16537,12/21/2019,109102,5902475,1.85
Illinois,1/4/2020,11779,12/28/2019,125348,5902475,2.12
Illinois,1/11/2020,12703,1/4/2020,136523,5910898,2.31
Illinois,1/18/2020,14807,1/11/2020,133967,5910898,2.27
Illinois,1/25/2020,9762,1/18/2020,131469,5910898,2.22
Illinois,2/1/2020,9343,1/25/2020,143239,5910898,2.42
Illinois,2/8/2020,9794,2/1/2020,130900,5910898,2.21
Illinois,2/15/2020,8045,2/8/2020,133765,5910898,2.26
Illinois,2/22/2020,11812,2/15/2020,131171,5910898,2.22
Illinois,2/29/2020,8980,2/22/2020,132123,5910898,2.24
Illinois,3/7/2020,8727,2/29/2020,136396,5910898,2.31
Illinois,3/14/2020,10870,3/7/2020,130325,5910898,2.2
Illinois,3/21/2020,114114,3/14/2020,125437,5910898,2.12
Illinois,3/28/2020,178421,3/21/2020,132114,5910898,2.24
Indiana,1/5/2019,4578,12/29/2018,19267,2998303,0.64
Indiana,1/12/2019,4835,1/5/2019,20110,3005853,0.67
Indiana,1/19/2019,3840,1/12/2019,19918,3005853,0.66
Indiana,1/26/2019,3467,1/19/2019,20599,3005853,0.69
Indiana,2/2/2019,3317,1/26/2019,20753,3005853,0.69
Indiana,2/9/2019,3462,2/2/2019,23149,3005853,0.77
Indiana,2/16/2019,2441,2/9/2019,22293,3005853,0.74
Indiana,2/23/2019,2367,2/16/2019,22075,3005853,0.73
Indiana,3/2/2019,2423,2/23/2019,21253,3005853,0.71
Indiana,3/9/2019,2845,3/2/2019,20910,3005853,0.7
Indiana,3/16/2019,2088,3/9/2019,20682,3005853,0.69
Indiana,3/23/2019,2069,3/16/2019,19668,3005853,0.65
Indiana,3/30/2019,2033,3/23/2019,18100,3005853,0.6
Indiana,4/6/2019,3038,3/30/2019,18760,3005853,0.62
Indiana,4/13/2019,2370,4/6/2019,15723,3014893,0.52
Indiana,4/20/2019,2719,4/13/2019,16019,3014893,0.53
Indiana,4/27/2019,2200,4/20/2019,16047,3014893,0.53
Indiana,5/4/2019,2086,4/27/2019,13584,3014893,0.45
Indiana,5/11/2019,2049,5/4/2019,13502,3014893,0.45
Indiana,5/18/2019,2009,5/11/2019,13278,3014893,0.44
Indiana,5/25/2019,1905,5/18/2019,13336,3014893,0.44
Indiana,6/1/2019,2101,5/25/2019,13170,3014893,0.44
Indiana,6/8/2019,2821,6/1/2019,13854,3014893,0.46
Indiana,6/15/2019,2120,6/8/2019,13273,3014893,0.44
Indiana,6/22/2019,1960,6/15/2019,13321,3014893,0.44
Indiana,6/29/2019,2225,6/22/2019,13105,3014893,0.43
Indiana,7/6/2019,2090,6/29/2019,12945,3014893,0.43
Indiana,7/13/2019,3527,7/6/2019,13592,3022665,0.45
Indiana,7/20/2019,2283,7/13/2019,13902,3022665,0.46
Indiana,7/27/2019,2051,7/20/2019,13393,3022665,0.44
Indiana,8/3/2019,2129,7/27/2019,13247,3022665,0.44
Indiana,8/10/2019,2518,8/3/2019,13823,3022665,0.46
Indiana,8/17/2019,2043,8/10/2019,13427,3022665,0.44
Indiana,8/24/2019,1989,8/17/2019,13161,3022665,0.44
Indiana,8/31/2019,1979,8/24/2019,13207,3022665,0.44
Indiana,9/7/2019,1986,8/31/2019,12948,3022665,0.43
Indiana,9/14/2019,2001,9/7/2019,13126,3022665,0.43
Indiana,9/21/2019,2797,9/14/2019,12826,3022665,0.42
Indiana,9/28/2019,2319,9/21/2019,12951,3022665,0.43
Indiana,10/5/2019,2672,9/28/2019,13636,3022665,0.45
Indiana,10/12/2019,2749,10/5/2019,13394,3034091,0.44
Indiana,10/19/2019,2116,10/12/2019,13234,3034091,0.44
Indiana,10/26/2019,2138,10/19/2019,13667,3034091,0.45
Indiana,11/2/2019,2381,10/26/2019,13749,3034091,0.45
Indiana,11/9/2019,3064,11/2/2019,13582,3034091,0.45
Indiana,11/16/2019,2725,11/9/2019,13328,3034091,0.44
Indiana,11/23/2019,3053,11/16/2019,14219,3034091,0.47
Indiana,11/30/2019,2312,11/23/2019,13544,3034091,0.45
Indiana,12/7/2019,4033,11/30/2019,15473,3034091,0.51
Indiana,12/14/2019,3411,12/7/2019,15516,3034091,0.51
Indiana,12/21/2019,3911,12/14/2019,17011,3034091,0.56
Indiana,12/28/2019,3418,12/21/2019,17756,3034091,0.59
Indiana,1/4/2020,4434,12/28/2019,20062,3034091,0.66
Indiana,1/11/2020,4890,1/4/2020,21524,3039304,0.71
Indiana,1/18/2020,3741,1/11/2020,21626,3039304,0.71
Indiana,1/25/2020,2956,1/18/2020,21366,3039304,0.7
Indiana,2/1/2020,3016,1/25/2020,22017,3039304,0.72
Indiana,2/8/2020,2725,2/1/2020,22212,3039304,0.73
Indiana,2/15/2020,2556,2/8/2020,22352,3039304,0.74
Indiana,2/22/2020,2979,2/15/2020,22913,3039304,0.75
Indiana,2/29/2020,2276,2/22/2020,22994,3039304,0.76
Indiana,3/7/2020,2223,2/29/2020,22586,3039304,0.74
Indiana,3/14/2020,2596,3/7/2020,21473,3039304,0.71
Indiana,3/21/2020,59755,3/14/2020,20778,3039304,0.68
Indiana,3/28/2020,139174,3/21/2020,28987,3039304,0.95
Iowa,1/5/2019,4300,12/29/2018,31173,1519868,2.05
Iowa,1/12/2019,4395,1/5/2019,30334,1520724,1.99
Iowa,1/19/2019,3127,1/12/2019,29093,1520724,1.91
Iowa,1/26/2019,3728,1/19/2019,29509,1520724,1.94
Iowa,2/2/2019,4142,1/26/2019,31177,1520724,2.05
Iowa,2/9/2019,2679,2/2/2019,33539,1520724,2.21
Iowa,2/16/2019,1983,2/9/2019,31633,1520724,2.08
Iowa,2/23/2019,2179,2/16/2019,31257,1520724,2.06
Iowa,3/2/2019,2309,2/23/2019,30786,1520724,2.02
Iowa,3/9/2019,2232,3/2/2019,30964,1520724,2.04
Iowa,3/16/2019,2348,3/9/2019,30334,1520724,1.99
Iowa,3/23/2019,2272,3/16/2019,29330,1520724,1.93
Iowa,3/30/2019,1882,3/23/2019,26969,1520724,1.77
Iowa,4/6/2019,1780,3/30/2019,23639,1520724,1.55
Iowa,4/13/2019,1836,4/6/2019,20317,1523830,1.33
Iowa,4/20/2019,1823,4/13/2019,18430,1523830,1.21
Iowa,4/27/2019,1997,4/20/2019,15793,1523830,1.04
Iowa,5/4/2019,2673,4/27/2019,14645,1523830,0.96
Iowa,5/11/2019,2204,5/4/2019,15317,1523830,1.01
Iowa,5/18/2019,1959,5/11/2019,14100,1523830,0.93
Iowa,5/25/2019,2128,5/18/2019,13501,1523830,0.89
Iowa,6/1/2019,2195,5/25/2019,13632,1523830,0.89
Iowa,6/8/2019,2569,6/1/2019,13691,1523830,0.9
Iowa,6/15/2019,2120,6/8/2019,13729,1523830,0.9
Iowa,6/22/2019,1781,6/15/2019,14233,1523830,0.93
Iowa,6/29/2019,2123,6/22/2019,14086,1523830,0.92
Iowa,7/6/2019,3307,6/29/2019,14360,1523830,0.94
Iowa,7/13/2019,2635,7/6/2019,16194,1526417,1.06
Iowa,7/20/2019,1835,7/13/2019,14970,1526417,0.98
Iowa,7/27/2019,2380,7/20/2019,14469,1526417,0.95
Iowa,8/3/2019,2271,7/27/2019,14969,1526417,0.98
Iowa,8/10/2019,2349,8/3/2019,15309,1526417,1
Iowa,8/17/2019,1805,8/10/2019,15306,1526417,1
Iowa,8/24/2019,2099,8/17/2019,14682,1526417,0.96
Iowa,8/31/2019,1769,8/24/2019,14008,1526417,0.92
Iowa,9/7/2019,1787,8/31/2019,12711,1526417,0.83
Iowa,9/14/2019,1692,9/7/2019,12305,1526417,0.81
Iowa,9/21/2019,1738,9/14/2019,12103,1526417,0.79
Iowa,9/28/2019,2245,9/21/2019,12051,1526417,0.79
Iowa,10/5/2019,2228,9/28/2019,12539,1526417,0.82
Iowa,10/12/2019,2117,10/5/2019,12665,1529213,0.83
Iowa,10/19/2019,2296,10/12/2019,12359,1529213,0.81
Iowa,10/26/2019,2945,10/19/2019,12635,1529213,0.83
Iowa,11/2/2019,2851,10/26/2019,13551,1529213,0.89
Iowa,11/9/2019,2927,11/2/2019,14055,1529213,0.92
Iowa,11/16/2019,4579,11/9/2019,13285,1529213,0.87
Iowa,11/23/2019,3794,11/16/2019,15608,1529213,1.02
Iowa,11/30/2019,4988,11/23/2019,15536,1529213,1.02
Iowa,12/7/2019,5531,11/30/2019,20394,1529213,1.33
Iowa,12/14/2019,4934,12/7/2019,20080,1529213,1.31
Iowa,12/21/2019,7357,12/14/2019,22119,1529213,1.45
Iowa,12/28/2019,10338,12/21/2019,25963,1529213,1.7
Iowa,1/4/2020,4586,12/28/2019,34549,1529213,2.26
Iowa,1/11/2020,4836,1/4/2020,34540,1530920,2.26
Iowa,1/18/2020,3615,1/11/2020,29625,1530920,1.94
Iowa,1/25/2020,3115,1/18/2020,30369,1530920,1.98
Iowa,2/1/2020,3066,1/25/2020,30890,1530920,2.02
Iowa,2/8/2020,2379,2/1/2020,30789,1530920,2.01
Iowa,2/15/2020,2239,2/8/2020,30799,1530920,2.01
Iowa,2/22/2020,2631,2/15/2020,30741,1530920,2.01
Iowa,2/29/2020,2240,2/22/2020,30516,1530920,1.99
Iowa,3/7/2020,2221,2/29/2020,29424,1530920,1.92
Iowa,3/14/2020,2229,3/7/2020,27816,1530920,1.82
Iowa,3/21/2020,40952,3/14/2020,26496,1530920,1.73
Iowa,3/28/2020,55966,3/21/2020,53650,1530920,3.5
Kansas,1/5/2019,2185,12/29/2018,11601,1347587,0.86
Kansas,1/12/2019,2165,1/5/2019,11583,1351006,0.86
Kansas,1/19/2019,2795,1/12/2019,10975,1351006,0.81
Kansas,1/26/2019,2501,1/19/2019,12051,1351006,0.89
Kansas,2/2/2019,1917,1/26/2019,12743,1351006,0.94
Kansas,2/9/2019,1766,2/2/2019,12281,1351006,0.91
Kansas,2/16/2019,1610,2/9/2019,12274,1351006,0.91
Kansas,2/23/2019,1803,2/16/2019,11800,1351006,0.87
Kansas,3/2/2019,1709,2/23/2019,12141,1351006,0.9
Kansas,3/9/2019,1583,3/2/2019,11479,1351006,0.85
Kansas,3/16/2019,1648,3/9/2019,11193,1351006,0.83
Kansas,3/23/2019,1271,3/16/2019,10886,1351006,0.81
Kansas,3/30/2019,1490,3/23/2019,9195,1351006,0.68
Kansas,4/6/2019,1357,3/30/2019,8643,1351006,0.64
Kansas,4/13/2019,1298,4/6/2019,7999,1354497,0.59
Kansas,4/20/2019,1167,4/13/2019,7767,1354498,0.57
Kansas,4/27/2019,1271,4/20/2019,7649,1354497,0.56
Kansas,5/4/2019,2025,4/27/2019,7589,1354497,0.56
Kansas,5/11/2019,1546,5/4/2019,8253,1354497,0.61
Kansas,5/18/2019,1402,5/11/2019,8083,1354497,0.6
Kansas,5/25/2019,2024,5/18/2019,7711,1354497,0.57
Kansas,6/1/2019,1533,5/25/2019,8257,1354497,0.61
Kansas,6/8/2019,1512,6/1/2019,8110,1354497,0.6
Kansas,6/15/2019,1436,6/8/2019,7857,1354497,0.58
Kansas,6/22/2019,1292,6/15/2019,8149,1354497,0.6
Kansas,6/29/2019,1516,6/22/2019,7871,1354497,0.58
Kansas,7/6/2019,2419,6/29/2019,7914,1354497,0.58
Kansas,7/13/2019,2657,7/6/2019,8316,1357246,0.61
Kansas,7/20/2019,1366,7/13/2019,9472,1357246,0.7
Kansas,7/27/2019,1360,7/20/2019,9308,1357246,0.69
Kansas,8/3/2019,1398,7/27/2019,8779,1357246,0.65
Kansas,8/10/2019,1325,8/3/2019,8500,1357246,0.63
Kansas,8/17/2019,1172,8/10/2019,8222,1357246,0.61
Kansas,8/24/2019,1183,8/17/2019,7509,1357246,0.55
Kansas,8/31/2019,2166,8/24/2019,7473,1357246,0.55
Kansas,9/7/2019,1289,8/31/2019,7639,1357246,0.56
Kansas,9/14/2019,1127,9/7/2019,7366,1357246,0.54
Kansas,9/21/2019,2602,9/14/2019,6843,1357246,0.5
Kansas,9/28/2019,1206,9/21/2019,7643,1357246,0.56
Kansas,10/5/2019,1318,9/28/2019,7417,1357246,0.55
Kansas,10/12/2019,1245,10/5/2019,7198,1359781,0.53
Kansas,10/19/2019,1132,10/12/2019,7269,1359781,0.53
Kansas,10/26/2019,1316,10/19/2019,7126,1359781,0.52
Kansas,11/2/2019,1346,10/26/2019,7279,1359781,0.54
Kansas,11/9/2019,1457,11/2/2019,7093,1359781,0.52
Kansas,11/16/2019,1413,11/9/2019,6982,1359781,0.51
Kansas,11/23/2019,1620,11/16/2019,7345,1359781,0.54
Kansas,11/30/2019,1236,11/23/2019,7258,1359781,0.53
Kansas,12/7/2019,2176,11/30/2019,8246,1359781,0.61
Kansas,12/14/2019,1825,12/7/2019,8077,1359781,0.59
Kansas,12/21/2019,3096,12/14/2019,8562,1359781,0.63
Kansas,12/28/2019,3059,12/21/2019,9525,1359781,0.7
Kansas,1/4/2020,2019,12/28/2019,11175,1359781,0.82
Kansas,1/11/2020,2140,1/4/2020,11431,1363114,0.84
Kansas,1/18/2020,2402,1/11/2020,10638,1363114,0.78
Kansas,1/25/2020,2557,1/18/2020,11182,1363114,0.82
Kansas,2/1/2020,2000,1/25/2020,12301,1363114,0.9
Kansas,2/8/2020,2107,2/1/2020,11809,1363114,0.87
Kansas,2/15/2020,2076,2/8/2020,11666,1363114,0.86
Kansas,2/22/2020,1494,2/15/2020,12003,1363114,0.88
Kansas,2/29/2020,1517,2/22/2020,11505,1363114,0.84
Kansas,3/7/2020,1365,2/29/2020,11003,1363115,0.81
Kansas,3/14/2020,1755,3/7/2020,9771,1363114,0.72
Kansas,3/21/2020,23563,3/14/2020,9973,1363114,0.73
Kansas,3/28/2020,54330,3/21/2020,17558,1363114,1.29
Kentucky,1/5/2019,6377,12/29/2018,10142,1876412,0.54
Kentucky,1/12/2019,11344,1/5/2019,22486,1879936,1.2
Kentucky,1/19/2019,3084,1/12/2019,20298,1879936,1.08
Kentucky,1/26/2019,2949,1/19/2019,20960,1879936,1.11
Kentucky,2/2/2019,2673,1/26/2019,20801,1879936,1.11
Kentucky,2/9/2019,2381,2/2/2019,22688,1879936,1.21
Kentucky,2/16/2019,2344,2/9/2019,21514,1879936,1.14
Kentucky,2/23/2019,6831,2/16/2019,22762,1879936,1.21
Kentucky,3/2/2019,3714,2/23/2019,23662,1879936,1.26
Kentucky,3/9/2019,2046,3/2/2019,21175,1879936,1.13
Kentucky,3/16/2019,2105,3/9/2019,20145,1879936,1.07
Kentucky,3/23/2019,1957,3/16/2019,20317,1879936,1.08
Kentucky,3/30/2019,2168,3/23/2019,18417,1879936,0.98
Kentucky,4/6/2019,2774,3/30/2019,18087,1879936,0.96
Kentucky,4/13/2019,2108,4/6/2019,16778,1883260,0.89
Kentucky,4/20/2019,1983,4/13/2019,17427,1883260,0.93
Kentucky,4/27/2019,1716,4/20/2019,15765,1883260,0.84
Kentucky,5/4/2019,1938,4/27/2019,16169,1883260,0.86
Kentucky,5/11/2019,1709,5/4/2019,15342,1883260,0.81
Kentucky,5/18/2019,2272,5/11/2019,15678,1883260,0.83
Kentucky,5/25/2019,2638,5/18/2019,15638,1883260,0.83
Kentucky,6/1/2019,2403,5/25/2019,16305,1883260,0.87
Kentucky,6/8/2019,2201,6/1/2019,16309,1883260,0.87
Kentucky,6/15/2019,1936,6/8/2019,16535,1883260,0.88
Kentucky,6/22/2019,3086,6/15/2019,16608,1883260,0.88
Kentucky,6/29/2019,3555,6/22/2019,16599,1883260,0.88
Kentucky,7/6/2019,6070,6/29/2019,17838,1883260,0.95
Kentucky,7/13/2019,5442,7/6/2019,17861,1886070,0.95
Kentucky,7/20/2019,5388,7/13/2019,17747,1886070,0.94
Kentucky,7/27/2019,2042,7/20/2019,17985,1886070,0.95
Kentucky,8/3/2019,2034,7/27/2019,17628,1886070,0.93
Kentucky,8/10/2019,2457,8/3/2019,17397,1886070,0.92
Kentucky,8/17/2019,2235,8/10/2019,16820,1886070,0.89
Kentucky,8/24/2019,1974,8/17/2019,17311,1886070,0.92
Kentucky,8/31/2019,1842,8/24/2019,16720,1886070,0.89
Kentucky,9/7/2019,1788,8/31/2019,6623,1886070,0.35
Kentucky,9/14/2019,1875,9/7/2019,16422,1886070,0.87
Kentucky,9/21/2019,2236,9/14/2019,16015,1886070,0.85
Kentucky,9/28/2019,2373,9/21/2019,15505,1886070,0.82
Kentucky,10/5/2019,2421,9/28/2019,15963,1886070,0.85
Kentucky,10/12/2019,2636,10/5/2019,15643,1889353,0.83
Kentucky,10/19/2019,2359,10/12/2019,15598,1889353,0.83
Kentucky,10/26/2019,2143,10/19/2019,16216,1889353,0.86
Kentucky,11/2/2019,2056,10/26/2019,16702,1889353,0.88
Kentucky,11/9/2019,2352,11/2/2019,15722,1889353,0.83
Kentucky,11/16/2019,2273,11/9/2019,15979,1889353,0.85
Kentucky,11/23/2019,2972,11/16/2019,15599,1889353,0.83
Kentucky,11/30/2019,3187,11/23/2019,15003,1889353,0.79
Kentucky,12/7/2019,3593,11/30/2019,18823,1889353,1
Kentucky,12/14/2019,3663,12/7/2019,17264,1889353,0.91
Kentucky,12/21/2019,4603,12/14/2019,18879,1889353,1
Kentucky,12/28/2019,6211,12/21/2019,18489,1889353,0.98
Kentucky,1/4/2020,5175,12/28/2019,22515,1890475,1.19
Kentucky,1/11/2020,3968,1/4/2020,25124,1890475,1.33
Kentucky,1/18/2020,3084,1/11/2020,24066,1890475,1.27
Kentucky,1/25/2020,2569,1/18/2020,22874,1890475,1.21
Kentucky,2/1/2020,2625,1/25/2020,23219,1890475,1.23
Kentucky,2/8/2020,2936,2/1/2020,22937,1890475,1.21
Kentucky,2/15/2020,2813,2/8/2020,23076,1890475,1.22
Kentucky,2/22/2020,2508,2/15/2020,22623,1890475,1.2
Kentucky,2/29/2020,2223,2/22/2020,23733,1890475,1.26
Kentucky,3/7/2020,2463,2/29/2020,22770,1890475,1.2
Kentucky,3/14/2020,2785,3/7/2020,22940,1890475,1.21
Kentucky,3/21/2020,49023,3/14/2020,22328,1890475,1.18
Kentucky,3/28/2020,113149,3/21/2020,24361,1890475,1.29
Louisiana,1/5/2019,1826,12/29/2018,15954,1876044,0.85
Louisiana,1/12/2019,2580,1/5/2019,15999,1878839,0.85
Louisiana,1/19/2019,2222,1/12/2019,15851,1878839,0.84
Louisiana,1/26/2019,1759,1/19/2019,15866,1878839,0.84
Louisiana,2/2/2019,2062,1/26/2019,16467,1878839,0.88
Louisiana,2/9/2019,1971,2/2/2019,15730,1878839,0.84
Louisiana,2/16/2019,1672,2/9/2019,14607,1878839,0.78
Louisiana,2/23/2019,1784,2/16/2019,15317,1878839,0.82
Louisiana,3/2/2019,1674,2/23/2019,15535,1878839,0.83
Louisiana,3/9/2019,1584,3/2/2019,14565,1878839,0.78
Louisiana,3/16/2019,1661,3/9/2019,14268,1878839,0.76
Louisiana,3/23/2019,1619,3/16/2019,14074,1878839,0.75
Louisiana,3/30/2019,1666,3/23/2019,14283,1878839,0.76
Louisiana,4/6/2019,1656,3/30/2019,13668,1878839,0.73
Louisiana,4/13/2019,1887,4/6/2019,13414,1882518,0.71
Louisiana,4/20/2019,1593,4/13/2019,13218,1882518,0.7
Louisiana,4/27/2019,2030,4/20/2019,13136,1882518,0.7
Louisiana,5/4/2019,2009,4/27/2019,13841,1882518,0.74
Louisiana,5/11/2019,2028,5/4/2019,13409,1882518,0.71
Louisiana,5/18/2019,2296,5/11/2019,13389,1882518,0.71
Louisiana,5/25/2019,2742,5/18/2019,13528,1882518,0.72
Louisiana,6/1/2019,2800,5/25/2019,14745,1882518,0.78
Louisiana,6/8/2019,2818,6/1/2019,15358,1882518,0.82
Louisiana,6/15/2019,2372,6/8/2019,16384,1882518,0.87
Louisiana,6/22/2019,2238,6/15/2019,16630,1882518,0.88
Louisiana,6/29/2019,2206,6/22/2019,17617,1882518,0.94
Louisiana,7/6/2019,1844,6/29/2019,17097,1882518,0.91
Louisiana,7/13/2019,2410,7/6/2019,17408,1887439,0.92
Louisiana,7/20/2019,2349,7/13/2019,17688,1887439,0.94
Louisiana,7/27/2019,2022,7/20/2019,17740,1887439,0.94
Louisiana,8/3/2019,2126,7/27/2019,18179,1887439,0.96
Louisiana,8/10/2019,2081,8/3/2019,17513,1887439,0.93
Louisiana,8/17/2019,1994,8/10/2019,16787,1887439,0.89
Louisiana,8/24/2019,1972,8/17/2019,16141,1887439,0.86
Louisiana,8/31/2019,1881,8/24/2019,15678,1887439,0.83
Louisiana,9/7/2019,1683,8/31/2019,15215,1887439,0.81
Louisiana,9/14/2019,1806,9/7/2019,14792,1887439,0.78
Louisiana,9/21/2019,1653,9/14/2019,14515,1887439,0.77
Louisiana,9/28/2019,1612,9/21/2019,14054,1887439,0.74
Louisiana,10/5/2019,1961,9/28/2019,14153,1887439,0.75
Louisiana,10/12/2019,2069,10/5/2019,13420,1890973,0.71
Louisiana,10/19/2019,1792,10/12/2019,13383,1890973,0.71
Louisiana,10/26/2019,1867,10/19/2019,13445,1890973,0.71
Louisiana,11/2/2019,1762,10/26/2019,13852,1890973,0.73
Louisiana,11/9/2019,2272,11/2/2019,13410,1890973,0.71
Louisiana,11/16/2019,2102,11/9/2019,13675,1890973,0.72
Louisiana,11/23/2019,1903,11/16/2019,13955,1890973,0.74
Louisiana,11/30/2019,1507,11/23/2019,14451,1890973,0.76
Louisiana,12/7/2019,2448,11/30/2019,14563,1890973,0.77
Louisiana,12/14/2019,2227,12/7/2019,14705,1890973,0.78
Louisiana,12/21/2019,2218,12/14/2019,15358,1890973,0.81
Louisiana,12/28/2019,1469,12/21/2019,15270,1890973,0.81
Louisiana,1/4/2020,1658,12/28/2019,16553,1890973,0.88
Louisiana,1/11/2020,2521,1/4/2020,15957,1892522,0.84
Louisiana,1/18/2020,2008,1/11/2020,16076,1892522,0.85
Louisiana,1/25/2020,1878,1/18/2020,15500,1892522,0.82
Louisiana,2/1/2020,2058,1/25/2020,16189,1892522,0.86
Louisiana,2/8/2020,1805,2/1/2020,15051,1892522,0.8
Louisiana,2/15/2020,1739,2/8/2020,15057,1892522,0.8
Louisiana,2/22/2020,1798,2/15/2020,14640,1892522,0.77
Louisiana,2/29/2020,1509,2/22/2020,15289,1892522,0.81
Louisiana,3/7/2020,1698,2/29/2020,14199,1892522,0.75
Louisiana,3/14/2020,2255,3/7/2020,13987,1892522,0.74
Louisiana,3/21/2020,72438,3/14/2020,14143,1892522,0.75
Louisiana,3/28/2020,97400,3/21/2020,58027,1892522,3.07
Maine,1/5/2019,1823,12/29/2018,7349,595363,1.23
Maine,1/12/2019,1637,1/5/2019,8445,596934,1.41
Maine,1/19/2019,1011,1/12/2019,8155,596934,1.37
Maine,1/26/2019,904,1/19/2019,8247,596934,1.38
Maine,2/2/2019,929,1/26/2019,8778,596934,1.47
Maine,2/9/2019,746,2/2/2019,8671,596934,1.45
Maine,2/16/2019,608,2/9/2019,8696,596934,1.46
Maine,2/23/2019,597,2/16/2019,8645,596934,1.45
Maine,3/2/2019,743,2/23/2019,9003,596934,1.51
Maine,3/9/2019,710,3/2/2019,8510,596934,1.43
Maine,3/16/2019,619,3/9/2019,8493,596934,1.42
Maine,3/23/2019,561,3/16/2019,8166,596934,1.37
Maine,3/30/2019,676,3/23/2019,8353,596934,1.4
Maine,4/6/2019,739,3/30/2019,7613,596934,1.28
Maine,4/13/2019,711,4/6/2019,7191,598159,1.2
Maine,4/20/2019,688,4/13/2019,6947,598159,1.16
Maine,4/27/2019,720,4/20/2019,6734,598159,1.13
Maine,5/4/2019,573,4/27/2019,6045,598159,1.01
Maine,5/11/2019,464,5/4/2019,5383,598159,0.9
Maine,5/18/2019,528,5/11/2019,4932,598159,0.82
Maine,5/25/2019,476,5/18/2019,4771,598159,0.8
Maine,6/1/2019,351,5/25/2019,4312,598159,0.72
Maine,6/8/2019,520,6/1/2019,4327,598159,0.72
Maine,6/15/2019,437,6/8/2019,3988,598159,0.67
Maine,6/22/2019,536,6/15/2019,4096,598159,0.68
Maine,6/29/2019,531,6/22/2019,3966,598159,0.66
Maine,7/6/2019,441,6/29/2019,3783,598159,0.63
Maine,7/13/2019,708,7/6/2019,4301,600187,0.72
Maine,7/20/2019,493,7/13/2019,4025,600187,0.67
Maine,7/27/2019,565,7/20/2019,4072,600187,0.68
Maine,8/3/2019,466,7/27/2019,3817,600187,0.64
Maine,8/10/2019,447,8/3/2019,3779,600187,0.63
Maine,8/17/2019,363,8/10/2019,3680,600187,0.61
Maine,8/24/2019,350,8/17/2019,3613,600187,0.6
Maine,8/31/2019,388,8/24/2019,3405,600187,0.57
Maine,9/7/2019,388,8/31/2019,3096,600187,0.52
Maine,9/14/2019,414,9/7/2019,2966,600187,0.49
Maine,9/21/2019,382,9/14/2019,2965,600187,0.49
Maine,9/28/2019,367,9/21/2019,2910,600187,0.48
Maine,10/5/2019,414,9/28/2019,2960,600187,0.49
Maine,10/12/2019,480,10/5/2019,3022,601875,0.5
Maine,10/19/2019,419,10/12/2019,2938,601875,0.49
Maine,10/26/2019,660,10/19/2019,3213,601875,0.53
Maine,11/2/2019,721,10/26/2019,3310,601875,0.55
Maine,11/9/2019,839,11/2/2019,3426,601875,0.57
Maine,11/16/2019,785,11/9/2019,3860,601875,0.64
Maine,11/23/2019,944,11/16/2019,4379,601875,0.73
Maine,11/30/2019,732,11/23/2019,4550,601875,0.76
Maine,12/7/2019,1351,11/30/2019,5383,601875,0.89
Maine,12/14/2019,1304,12/7/2019,5657,601875,0.94
Maine,12/21/2019,1123,12/14/2019,5763,601875,0.96
Maine,12/28/2019,985,12/21/2019,5900,601875,0.98
Maine,1/4/2020,1663,12/28/2019,7828,601875,1.3
Maine,1/11/2020,1561,1/4/2020,7832,602736,1.3
Maine,1/18/2020,959,1/11/2020,8661,602736,1.44
Maine,1/25/2020,944,1/18/2020,8457,602736,1.4
